Regulatory gene;Ortholog of the regulatory gene;Target gene;Ortholog of the target gene;Mode of regulation;Reference (PubMed)
algR (AL347_16050);algR;algK (AL347_25095);algK;+;18440972
algR (AL347_16050);algR;algE (AL347_25090);algE;+;18440972
algR (AL347_16050);algR;algG (AL347_25085);algG;+;18440972
algR (AL347_16050);algR;algX (AL347_25080);algX;+;18440972
algR (AL347_16050);algR;algL (AL347_25075);algL;+;18440972
algR (AL347_16050);algR;algI (AL347_25065);algI;+;18440972
algR (AL347_16050);algR;algJ (AL347_25060);algJ;+;18440972
algR (AL347_16050);algR;algF (AL347_25055);algF;+;18440972
algR (AL347_16050);algR;algA (AL347_25050);algA;+;18440972
algR (AL347_16050);algR;PA3934 (AL347_23045);PA3934;+;18440972
algR (AL347_16050);algR;gdhA (AL347_12430);gdhA;-;18440972
algR (AL347_16050);algR;PA5152 (AL347_15480);PA5152;+;18440972
algR (AL347_16050);algR;PA5153 (AL347_15485);PA5153;+;18440972
algR (AL347_16050);algR;argB (AL347_16370);argB;+;18440972
algR (AL347_16050);algR;algR (AL347_16050);algR;+;18974177
algR (AL347_16050);algR;algZ (AL347_16055);algZ;-;18974177
algR (AL347_16050);algR;hcnA (AL347_01585);hcnA;-;19270096
algR (AL347_16050);algR;lipA (AL347_28575);lipA;-;24187093
algR (AL347_16050);algR;fimU (AL347_12235);fimU;+;24187093
algR (AL347_16050);algR;pilV (AL347_12240);pilV;+;24187093
algR (AL347_16050);algR;pilW (AL347_12245);pilW;+;24187093
algR (AL347_16050);algR;pilX (AL347_12250);pilX;+;24187093
algR (AL347_16050);algR;arcD (AL347_15575);arcD;+;24187093
algR (AL347_16050);algR;arcA (AL347_15580);arcA;+;24187093
algR (AL347_16050);algR;arcB (AL347_15585);arcB;+;24187093
algR (AL347_16050);algR;arcC (AL347_15590);arcC;+;24187093
algR (AL347_16050);algR;exsA (AL347_04135);exsA;+;25070741
algR (AL347_16050);algR;mucR (AL347_04065);mucR;+;26206672
algR (AL347_16050);algR;rsmA (AL347_08970);rsmA;+;28320883
algR (AL347_16050);algR;czcR (AL347_32045);czcR;+;28400281
algR (AL347_16050);algR;rhlI (AL347_25330);rhlI;-;28400281
algR (AL347_16050);algR;rhlA (AL347_25315);rhlA;-;28400281
algR (AL347_16050);algR;nrdB (AL347_07360);nrdB;+;29263410
algR (AL347_16050);algR;nrdA (AL347_07355);nrdA;+;29263410
algR (AL347_16050);algR;sigX (AL347_03799);sigX;?;29729420
algR (AL347_16050);algR;femI (AL347_03050);femI;?;29729420
algR (AL347_16050);algR;dnaA (AL347_17730);dnaA;?;31270321
algR (AL347_16050);algR;PA0277 (AL347_19170);PA0277;?;31270321
algR (AL347_16050);algR;PA0456 (AL347_20105);PA0456;?;31270321
algR (AL347_16050);algR;phdA (AL347_10095);phdA;?;31270321
algR (AL347_16050);algR;PA0703 (AL347_10030);PA0703;?;31270321
algR (AL347_16050);algR;cat (AL347_10015);cat;?;31270321
algR (AL347_16050);algR;putP (AL347_09600);putP;?;31270321
algR (AL347_16050);algR;ampDh3 (AL347_09475);ampDh3;?;31270321
algR (AL347_16050);algR;PA0839 (AL347_09315);PA0839;?;31270321
algR (AL347_16050);algR;PA0947 (AL347_08475);PA0947;?;31270321
algR (AL347_16050);algR;pqsA (AL347_08225);pqsA;?;31270321
algR (AL347_16050);algR;pqsB (AL347_08220);pqsB;?;31270321
algR (AL347_16050);algR;pqsC (AL347_08215);pqsC;?;31270321
algR (AL347_16050);algR;pqsD (AL347_08210);pqsD;?;31270321
algR (AL347_16050);algR;pqsE (AL347_08205);pqsE;?;31270321
algR (AL347_16050);algR;roeA (AL347_07640);roeA;?;31270321
algR (AL347_16050);algR;rhlC (AL347_07505);rhlC;?;31270321
algR (AL347_16050);algR;PA1159 (AL347_07340);PA1159;?;31270321
algR (AL347_16050);algR;cobO (AL347_06750);cobO;?;31270321
algR (AL347_16050);algR;PA1287 (AL347_06675);PA1287;?;31270321
algR (AL347_16050);algR;cyoA (AL347_06520);cyoA;?;31270321
algR (AL347_16050);algR;PA1333 (AL347_06435);PA1333;?;31270321
algR (AL347_16050);algR;fliL (AL347_05555);fliL;?;31270321
algR (AL347_16050);algR;ccmG (AL347_05360);ccmG;?;31270321
algR (AL347_16050);algR;alc (AL347_05185);alc;?;31270321
algR (AL347_16050);algR;PA1736 (AL347_04015);PA1736;?;31270321
algR (AL347_16050);algR;liuE (AL347_02555);liuE;?;31270321
algR (AL347_16050);algR;PA2301 (AL347_33520);PA2301;?;31270321
algR (AL347_16050);algR;PA2867 (AL347_28550);PA2867;?;31270321
algR (AL347_16050);algR;PA2939 (AL347_28180);PA2939;?;31270321
algR (AL347_16050);algR;xcpT (AL347_27335);xcpT;?;31270321
algR (AL347_16050);algR;fimV (AL347_27265);fimV;?;31270321
algR (AL347_16050);algR;asd (AL347_27255);asd;?;31270321
algR (AL347_16050);algR;PA3325 (AL347_26130);PA3325;?;31270321
algR (AL347_16050);algR;PA3471 (AL347_25360);PA3471;?;31270321
algR (AL347_16050);algR;PA3535 (AL347_25135);PA3535;?;31270321
algR (AL347_16050);algR;PA3572 (AL347_24940);PA3572;?;31270321
algR (AL347_16050);algR;pyrG (AL347_24590);pyrG;?;31270321
algR (AL347_16050);algR;dnaE (AL347_24575);dnaE;?;31270321
algR (AL347_16050);algR;mexK (AL347_24395);mexK;?;31270321
algR (AL347_16050);algR;PA3722 (AL347_24165);PA3722;?;31270321
algR (AL347_16050);algR;lasB (AL347_24155);lasB;?;31270321
algR (AL347_16050);algR;PA3740 (AL347_24070);PA3740;?;31270321
algR (AL347_16050);algR;nagE (AL347_23965);nagE;?;31270321
algR (AL347_16050);algR;PA3774 (AL347_23890);PA3774;?;31270321
algR (AL347_16050);algR;PA3840 (AL347_23540);PA3840;?;31270321
algR (AL347_16050);algR;ubiX (AL347_22615);ubiX;?;31270321
algR (AL347_16050);algR;PA4171 (AL347_21830);PA4171;?;31270321
algR (AL347_16050);algR;phzA1 (AL347_21625);phzA1;?;31270321
algR (AL347_16050);algR;phzB1 (AL347_21620);phzB1;?;31270321
algR (AL347_16050);algR;phzC1 (AL347_21615);phzC1;?;31270321
algR (AL347_16050);algR;phzD1 (AL347_21610);phzD1;?;31270321
algR (AL347_16050);algR;phzE1 (AL347_21605);phzE1;?;31270321
algR (AL347_16050);algR;phzF1 (AL347_21600);phzF1;?;31270321
algR (AL347_16050);algR;rcpC (AL347_10360);rcpC;?;31270321
algR (AL347_16050);algR;PA4320 (AL347_10445);PA4320;?;31270321
algR (AL347_16050);algR;PA4340 (AL347_10545);PA4340;?;31270321
algR (AL347_16050);algR;PA4357 (AL347_10630);PA4357;?;31270321
algR (AL347_16050);algR;PA4392 (AL347_10815);PA4392;?;31270321
algR (AL347_16050);algR;PA4475 (AL347_11240);PA4475;?;31270321
algR (AL347_16050);algR;PA4570 (AL347_12335);PA4570;?;31270321
algR (AL347_16050);algR;oprJ (AL347_12480);oprJ;?;31270321
algR (AL347_16050);algR;glyA3 (AL347_12505);glyA3;?;31270321
algR (AL347_16050);algR;PA4654 (AL347_12790);PA4654;?;31270321
algR (AL347_16050);algR;PA4676 (AL347_12920);PA4676;?;31270321
algR (AL347_16050);algR;PA4735 (AL347_13250);PA4735;?;31270321
algR (AL347_16050);algR;PA4948 (AL347_14360);PA4948;?;31270321
algR (AL347_16050);algR;opgG (mdoG);opgG;?;31270321
algR (AL347_16050);algR;tonB1 (AL347_17475);tonB1;?;31270321
algR (AL347_16050);algR;atpI (AL347_17625);atpI;?;31270321
algR (AL347_16050);algR;algD (AL347_25110);algD;+;25488298, 31270321
algR (AL347_16050);algR;pvdS (AL347_32895);pvdS;-;28400281, 29729420
algR (AL347_16050);algR;algC (AL347_16365);algC;+;22587778
algR (AL347_16050);algR;speA (AL347_13801);speA;?;22587778
algU (AL347_09705);algU;PA0856 (AL347_09230);PA0856;+;18440972
algU (AL347_09705);algU;bolA (AL347_09225);bolA;+;18440972
algU (AL347_09705);algU;PA1592 (AL347_04765);PA1592;+;18440972
algU (AL347_09705);algU;tal (AL347_28920);tal;+;18440972
algU (AL347_09705);algU;PA3262 (AL347_00200);PA3262;+;18440972
algU (AL347_09705);algU;alg8 (AL347_25105);alg8;+;18440972
algU (AL347_09705);algU;alg44 (AL347_25100);alg44;+;18440972
algU (AL347_09705);algU;algK (AL347_25095);algK;+;18440972
algU (AL347_09705);algU;algE (AL347_25090);algE;+;18440972
algU (AL347_09705);algU;algG (AL347_25085);algG;+;18440972
algU (AL347_09705);algU;algX (AL347_25080);algX;+;18440972
algU (AL347_09705);algU;algL (AL347_25075);algL;+;18440972
algU (AL347_09705);algU;algI (AL347_25065);algI;+;18440972
algU (AL347_09705);algU;algJ (AL347_25060);algJ;+;18440972
algU (AL347_09705);algU;algF (AL347_25055);algF;+;18440972
algU (AL347_09705);algU;algA (AL347_25050);algA;+;18440972
algU (AL347_09705);algU;PA3819 (AL347_23660);PA3819;+;18440972
algU (AL347_09705);algU;ivy (AL347_23215);ivy/ PA3902 ;+;18440972, 22587778
algU (AL347_09705);algU;phuR (AL347_13120);phuR;+;18440972
algU (AL347_09705);algU;dksA (AL347_13185);dksA;+;18440972
algU (AL347_09705);algU;PA5291 (AL347_16210);PA5291 (betT2);+;18440972
algU (AL347_09705);algU;lptA (AL347_17775);lptA;+;18974177
algU (AL347_09705);algU;osmC (AL347_18065);osmC;+;18974177
algU (AL347_09705);algU;slyB (AL347_07915);slyB;+;18974177
algU (AL347_09705);algU;oprF (AL347_03795);oprF;+;18974177
algU (AL347_09705);algU;lptB (AL347_11170);lptB;+;18974177
algU (AL347_09705);algU;lptF (AL347_24315);lptF;+;19332805
algU (AL347_09705);algU;mucE (AL347_22545);mucE;+;24138584
algU (AL347_09705);algU;pyrR (AL347_19830);pyrR;?;29729420
algU (AL347_09705);algU;vfr (AL347_21140);vfr;?;29729420
algU (AL347_09705);algU;lasR (AL347_05615);lasR;?;29729420
algU (AL347_09705);algU;anr (AL347_05030);anr;?;29729420
algU (AL347_09705);algU;PA2177 (AL347_01675);PA2177;?;29729420
algU (AL347_09705);algU;ppyR (AL347_30095);ppyR;?;29729420
algU (AL347_09705);algU;gltR (AL347_00565);gltR;?;29729420
algU (AL347_09705);algU;cbrB (AL347_13205);cbrB;?;29729420
algU (AL347_09705);algU;kinB (AL347_17240);kinB;?;29729420
algU (AL347_09705);algU;rpoH (AL347_19690);rpoH;+;18974177, 29729420
algU (AL347_09705);algU;mucA (AL347_09700);mucA;+;18974177, 29729420
algU (AL347_09705);algU;mucB (AL347_09695);mucB;+;18974177, 29729420
algU (AL347_09705);algU;fleQ (AL347_07690);fleQ;-;18974177, 29729420
algU (AL347_09705);algU;amrZ (AL347_25805);amrZ;+;19168621, 29729420
algU (AL347_09705);algU;algU (AL347_09705);algU;+;22088575, 29729420
algU (AL347_09705);algU;algZ (AL347_16055);algZ;+;22088575, 29729420
algU (AL347_09705);algU;algB (AL347_17235);algB;+;22088575, 29729420
algU (AL347_09705);algU;algR (AL347_16050);algR;+;25488298, 29729420
algU (AL347_09705);algU;algD (AL347_25110);algD;+;28320883, 30322853
algU (AL347_09705);algU;rsmA (AL347_08970);rsmA;+;29718466, 29729420
algU (AL347_09705);algU;PA5526 (AL347_17450);PA5526;+;Homology from 25780925
algU (AL347_09705);algU;PA5514 (AL347_17390);PA5514;+;Homology from 25780925
algU (AL347_09705);algU;PA5488 (AL347_17260);PA5488;+;Homology from 25780925
algU (AL347_09705);algU;PA5473 (AL347_17180);PA5473;+;Homology from 25780925
algU (AL347_09705);algU;PA5472 (AL347_17170);PA5472;+;Homology from 25780925
algU (AL347_09705);algU;argB (AL347_16370);argB;+;Homology from 25780925
algU (AL347_09705);algU;poxB (AL347_16240);poxB;+;Homology from 25780925
algU (AL347_09705);algU;PA5290 (AL347_16205);PA5290;+;Homology from 25780925
algU (AL347_09705);algU;PA5258 (AL347_16035);PA5258;+;Homology from 25780925
algU (AL347_09705);algU;PA5246 (AL347_15970);PA5246;+;Homology from 25780925
algU (AL347_09705);algU;PA5245 (AL347_15965);PA5245;+;Homology from 25780925
algU (AL347_09705);algU;ppK (AL347_15950);ppK;+;Homology from 25780925
algU (AL347_09705);algU;PA5212 (AL347_15795);PA5212;+;Homology from 25780925
algU (AL347_09705);algU;PA5192 (AL347_15690);PA5192 (pckA);+;Homology from 25780925
algU (AL347_09705);algU;PA5148 (AL347_15405);PA5148;+;Homology from 25780925
algU (AL347_09705);algU;mutY (AL347_15400);mutY;+;Homology from 25780925
algU (AL347_09705);algU;PA5146 (AL347_15395);PA5146;+;Homology from 25780925
algU (AL347_09705);algU;PA5131 (AL347_15310);PA5131 (pgm, yibO);+;Homology from 25780925
algU (AL347_09705);algU;PA5121 (AL347_15255);PA5121;+;Homology from 25780925
algU (AL347_09705);algU;PA5110 (AL347_15195);PA5110 (fbp, cfxF, cbbF);+;Homology from 25780925
algU (AL347_09705);algU;PA5109 (AL347_15190);PA5109;+;Homology from 25780925
algU (AL347_09705);algU;PA5108 (AL347_15185);PA5108;+;Homology from 25780925
algU (AL347_09705);algU;PA5107 (AL347_15180);PA5107 (blc);+;Homology from 25780925
algU (AL347_09705);algU;opgG (mdoG);opgG;+;Homology from 25780925
algU (AL347_09705);algU;PA5042 (AL347_14855);PA5042 (pilO);+;Homology from 25780925
algU (AL347_09705);algU;PA5038 (AL347_14835);PA5038 (aroB);+;Homology from 25780925
algU (AL347_09705);algU;PA5037 (AL347_14830);PA5037;+;Homology from 25780925
algU (AL347_09705);algU;PA4923 (AL347_14225);PA4923;+;Homology from 25780925
algU (AL347_09705);algU;azu (AL347_14220);azu;+;Homology from 25780925
algU (AL347_09705);algU;PA4881 (AL347_14015);PA4881;+;Homology from 25780925
algU (AL347_09705);algU;PA4880 (AL347_14010);PA4880;+;Homology from 25780925
algU (AL347_09705);algU;PA4879 (AL347_14005);PA4879;+;Homology from 25780925
algU (AL347_09705);algU;PA4877 (AL347_13995);PA4877;+;Homology from 25780925
algU (AL347_09705);algU;PA4876 (AL347_13990);PA4876;+;Homology from 25780925
algU (AL347_09705);algU;PA4874 (AL347_13980);PA4874;+;Homology from 25780925
algU (AL347_09705);algU;gcbA (AL347_13825);gcbA;+;Homology from 25780925
algU (AL347_09705);algU;PA4842 (AL347_13815);PA4842;+;Homology from 25780925
algU (AL347_09705);algU;PA4841 (AL347_13810);PA4841;+;Homology from 25780925
algU (AL347_09705);algU;PA4788 (AL347_13540);PA4788;+;Homology from 25780925
algU (AL347_09705);algU;PA4786 (AL347_13530);PA4786;+;Homology from 25780925
algU (AL347_09705);algU;PA4717 (AL347_13155);PA4717;+;Homology from 25780925
algU (AL347_09705);algU;PA4714 (AL347_13140);PA4714;+;Homology from 25780925
algU (AL347_09705);algU;PA4713 (AL347_13135);PA4713;+;Homology from 25780925
algU (AL347_09705);algU;PA4700 (AL347_13070);PA4700 (mrcB, pbpF, ponB);+;Homology from 25780925
algU (AL347_09705);algU;PA4699 (AL347_13065);PA4699;+;Homology from 25780925
algU (AL347_09705);algU;PA4698 (AL347_13060);PA4698;+;Homology from 25780925
algU (AL347_09705);algU;PA4639 (AL347_12715);PA4639;+;Homology from 25780925
algU (AL347_09705);algU;PA4575 (AL347_12360);PA4575;+;Homology from 25780925
algU (AL347_09705);algU;PA4542 (AL347_12190);PA4542 (clpB);+;Homology from 25780925
algU (AL347_09705);algU;PA4481 (AL347_11270);PA4481 (mreB,rodY, envB) ;+;Homology from 25780925
algU (AL347_09705);algU;PA4480 (AL347_11265);PA4480 (mreC);+;Homology from 25780925
algU (AL347_09705);algU;PA4479 (AL347_11260);PA4479 (mreD);+;Homology from 25780925
algU (AL347_09705);algU;PA4458 (AL347_11155);PA4458;+;Homology from 25780925
algU (AL347_09705);algU;PA4394 (AL347_10825);PA4394;+;Homology from 25780925
algU (AL347_09705);algU;PA4390 (AL347_10805);PA4390;+;Homology from 25780925
algU (AL347_09705);algU;PA4345 (AL347_10570);PA4345;+;Homology from 25780925
algU (AL347_09705);algU;PA4343 (AL347_10560);PA4343;+;Homology from 25780925
algU (AL347_09705);algU;PA4338 (AL347_10535);PA4338;+;Homology from 25780925
algU (AL347_09705);algU;PA4313 (AL347_10405);PA4313;+;Homology from 25780925
algU (AL347_09705);algU;PA4312 (AL347_10400);PA4312;+;Homology from 25780925
algU (AL347_09705);algU;PA4311 (AL347_10395);PA4311;+;Homology from 25780925
algU (AL347_09705);algU;PA4308 (AL347_10375);PA4308;+;Homology from 25780925
algU (AL347_09705);algU;ppgL (AL347_21660);ppgL;+;Homology from 25780925
algU (AL347_09705);algU;PA4172 (AL347_21825);PA4172;+;Homology from 25780925
algU (AL347_09705);algU;PA4171 (AL347_21830);PA4171;+;Homology from 25780925
algU (AL347_09705);algU;PA4170 (AL347_21835);PA4170;+;Homology from 25780925
algU (AL347_09705);algU;PA4113 (AL347_22130);PA4113;+;Homology from 25780925
algU (AL347_09705);algU;PA4017 (AL347_22625);PA4017;+;Homology from 25780925
algU (AL347_09705);algU;PA4001 (AL347_22705);PA4001 (sltB1, mltB2);+;Homology from 25780925
algU (AL347_09705);algU;PA3992 (AL347_22745);PA3992 (sltB3);+;Homology from 25780925
algU (AL347_09705);algU;PA3962 (AL347_22900);PA3962;+;Homology from 25780925
algU (AL347_09705);algU;PA3945 (AL347_22990);PA3945;+;Homology from 25780925
algU (AL347_09705);algU;PA3940 (AL347_23015);PA3940;+;Homology from 25780925
algU (AL347_09705);algU;PA3891 (AL347_23275);PA3891 (opuCA);+;Homology from 25780925
algU (AL347_09705);algU;PA3890 (AL347_23280);PA3890 (opuCB);+;Homology from 25780925
algU (AL347_09705);algU;PA3889 (AL347_23285);PA3889 (opuCC);+;Homology from 25780925
algU (AL347_09705);algU;PA3888 (AL347_23290);PA3888 (opuCD);+;Homology from 25780925
algU (AL347_09705);algU;PA3887 (AL347_23300);PA3887 (nhaP);+;Homology from 25780925
algU (AL347_09705);algU;PA3856 (AL347_23455);PA3856;+;Homology from 25780925
algU (AL347_09705);algU;PA3795 (AL347_23780);PA3795;+;Homology from 25780925
algU (AL347_09705);algU;PA3794 (AL347_23785);PA3794;+;Homology from 25780925
algU (AL347_09705);algU;PA3793 (AL347_23790);PA3793;+;Homology from 25780925
algU (AL347_09705);algU;PA3762 (AL347_23960);PA3762;+;Homology from 25780925
algU (AL347_09705);algU;PA3734 (AL347_24100);PA3734;+;Homology from 25780925
algU (AL347_09705);algU;PA3710 (AL347_24225);PA3710;+;Homology from 25780925
algU (AL347_09705);algU;PA3691 (AL347_24320);PA3691;+;Homology from 25780925
algU (AL347_09705);algU;mucP (AL347_24530);mucP;+;Homology from 25780925
algU (AL347_09705);algU;PA3612 (AL347_24720);PA3612;+;Homology from 25780925
algU (AL347_09705);algU;PA3611 (AL347_24725);PA3611;+;Homology from 25780925
algU (AL347_09705);algU;PA3461 (AL347_25410);PA3461;+;Homology from 25780925
algU (AL347_09705);algU;PA3460 (AL347_25415);PA3460;+;Homology from 25780925
algU (AL347_09705);algU;PA3459 (AL347_25420);PA3459;+;Homology from 25780925
algU (AL347_09705);algU;PA3386 (AL347_25800);PA3386;+;Homology from 25780925
algU (AL347_09705);algU;phnC (AL347_25810);phnC;+;Homology from 25780925
algU (AL347_09705);algU;PA3383 (AL347_25815);PA3383;+;Homology from 25780925
algU (AL347_09705);algU;PA3382 (AL347_25820);PA3382 (phnE);+;Homology from 25780925
algU (AL347_09705);algU;PA3380 (AL347_25830);PA3380;+;Homology from 25780925
algU (AL347_09705);algU;PA3379 (AL347_25835);PA3379;+;Homology from 25780925
algU (AL347_09705);algU;PA3378 (AL347_25840);PA3378;+;Homology from 25780925
algU (AL347_09705);algU;PA3377 (AL347_25845);PA3377;+;Homology from 25780925
algU (AL347_09705);algU;PA3376 (AL347_25850);PA3376;+;Homology from 25780925
algU (AL347_09705);algU;PA3375 (AL347_25855);PA3375;+;Homology from 25780925
algU (AL347_09705);algU;PA3374 (AL347_25860);PA3374;+;Homology from 25780925
algU (AL347_09705);algU;PA3373 (AL347_25865);PA3373;+;Homology from 25780925
algU (AL347_09705);algU;PA3372 (AL347_25870);PA3372;+;Homology from 25780925
algU (AL347_09705);algU;PA3274 (AL347_26415);PA3274;+;Homology from 25780925
algU (AL347_09705);algU;PA3270 (AL347_26435);PA3270;+;Homology from 25780925
algU (AL347_09705);algU;PA3256 (AL347_00240);PA3256;+;Homology from 25780925
algU (AL347_09705);algU;PA3203 (AL347_00505);PA3203;+;Homology from 25780925
algU (AL347_09705);algU;PA3093 (AL347_27390);PA3093;+;Homology from 25780925
algU (AL347_09705);algU;PA3076 (AL347_27480);PA3076;+;Homology from 25780925
algU (AL347_09705);algU;PA3042 (AL347_27640);PA3042;+;Homology from 25780925
algU (AL347_09705);algU;PA3041 (AL347_27645);PA3041;+;Homology from 25780925
algU (AL347_09705);algU;PA3040 (AL347_27650);PA3040;+;Homology from 25780925
algU (AL347_09705);algU;PA3039 (AL347_27655);PA3039;+;Homology from 25780925
algU (AL347_09705);algU;PA3031 (AL347_27700);PA3031;+;Homology from 25780925
algU (AL347_09705);algU;PA3012 (AL347_27800);PA3012;+;Homology from 25780925
algU (AL347_09705);algU;nagZ (AL347_27835);nagZ;+;Homology from 25780925
algU (AL347_09705);algU;PA3004 (AL347_27840);PA3004;+;Homology from 25780925
algU (AL347_09705);algU;PA3001 (AL347_27855);PA3001;+;Homology from 25780925
algU (AL347_09705);algU;PA2988 (AL347_27925);PA2988 (lolE);+;Homology from 25780925
algU (AL347_09705);algU;PA2987 (AL347_27930);PA2987 (lolD, ycfV);+;Homology from 25780925
algU (AL347_09705);algU;PA2986 (AL347_27935);PA2986 (lolC);+;Homology from 25780925
algU (AL347_09705);algU;sbrR (AL347_28410);sbrR;+;Homology from 25780925
algU (AL347_09705);algU;PA2884 (AL347_28465);PA2884;+;Homology from 25780925
algU (AL347_09705);algU;PA2883 (AL347_28470);PA2883;+;Homology from 25780925
algU (AL347_09705);algU;PA2815 (fadE);PA2815;+;Homology from 25780925
algU (AL347_09705);algU;PA2559 (AL347_31845);PA2559;+;Homology from 25780925
algU (AL347_09705);algU;PA2546 (AL347_31915);PA2546;+;Homology from 25780925
algU (AL347_09705);algU;PA2528 (AL347_32015);PA2528 (muxA, yegM);+;Homology from 25780925
algU (AL347_09705);algU;PA2527 (AL347_32020);PA2527 (muxB, yegN);+;Homology from 25780925
algU (AL347_09705);algU;PA2526 (AL347_32025);PA2526 (muxC, yegO);+;Homology from 25780925
algU (AL347_09705);algU;PA2525 (AL347_32030);PA2525 (opmB);+;Homology from 25780925
algU (AL347_09705);algU;ptrC (AL347_32590);ptrC;+;Homology from 25780925
algU (AL347_09705);algU;PA2485 (AL347_32595);PA2485;+;Homology from 25780925
algU (AL347_09705);algU;sdaA (AL347_32800);sdaA;+;Homology from 25780925
algU (AL347_09705);algU;gcvT2 (AL347_32805);gcvT2;+;Homology from 25780925
algU (AL347_09705);algU;PA2434 (AL347_32845);PA2434;+;Homology from 25780925
algU (AL347_09705);algU;PA2433 (AL347_32850);PA2433;+;Homology from 25780925
algU (AL347_09705);algU;PA2416 (AL347_32945);PA2416 (treA);+;Homology from 25780925
algU (AL347_09705);algU;PA2415 (AL347_32950);PA2415;+;Homology from 25780925
algU (AL347_09705);algU;PA2414 (AL347_32955);PA2414;+;Homology from 25780925
algU (AL347_09705);algU;pvdH (AL347_32960);pvdH;+;Homology from 25780925
algU (AL347_09705);algU;PA2371 (AL347_33165);PA2371 (clpV3);+;Homology from 25780925
algU (AL347_09705);algU;PA2370 (AL347_33170);PA2370 (hsiH3);+;Homology from 25780925
algU (AL347_09705);algU;PA2369 (AL347_33175);PA2369 (hsiG3);+;Homology from 25780925
algU (AL347_09705);algU;PA2368 (AL347_33180);PA2368 (hsiF3);+;Homology from 25780925
algU (AL347_09705);algU;PA2367 (AL347_33185);PA2367 (hcp3);+;Homology from 25780925
algU (AL347_09705);algU;PA2366 (AL347_33190);PA2366 (hsiC3, puuD);+;Homology from 25780925
algU (AL347_09705);algU;PA2365 (AL347_33195);PA2365 (hsiB3);+;Homology from 25780925
algU (AL347_09705);algU;gad (AL347_00735);gad;+;Homology from 25780925
algU (AL347_09705);algU;kguD (AL347_00745);kguD;+;Homology from 25780925
algU (AL347_09705);algU;kguK (AL347_00755);kguK;+;Homology from 25780925
algU (AL347_09705);algU;PA2176 (AL347_01680);PA2176;+;Homology from 25780925
algU (AL347_09705);algU;PA2175 (AL347_01685);PA2175;+;Homology from 25780925
algU (AL347_09705);algU;PA2172 (AL347_01705);PA2172;+;Homology from 25780925
algU (AL347_09705);algU;PA2169 (AL347_01720);PA2169;+;Homology from 25780925
algU (AL347_09705);algU;PA2165 (AL347_01745);PA2165;+;Homology from 25780925
algU (AL347_09705);algU;PA2164 (AL347_01750);PA2164;+;Homology from 25780925
algU (AL347_09705);algU;PA2163 (AL347_01755);PA2163;+;Homology from 25780925
algU (AL347_09705);algU;PA2162 (AL347_01760);PA2162;+;Homology from 25780925
algU (AL347_09705);algU;PA2161 (AL347_01765);PA2161;+;Homology from 25780925
